x [m]	y [m]	ux [m/s]	uy [m/s]	uz [m/s]
3.0000000	-1.2600000	0.0000000	0.4082482	74.7434473
3.0000000	-1.1400000	0.0000000	0.4506649	74.6584000
3.0000000	-1.0200000	0.0000000	0.4893815	74.5532900
3.0000000	-0.9000000	0.0000000	0.5194954	74.4242639
3.0000000	-0.7800000	0.0000000	0.5339817	74.2679299
3.0000000	-0.6600000	0.0000000	0.5224045	74.0823293
3.0000000	-0.5400000	0.0000000	0.4699832	73.8679134
3.0000000	-0.4200000	0.0000000	0.3556156	73.6313714
3.0000000	-0.3000000	0.0000000	0.1584681	73.3936800
3.0000000	-0.2800000	0.0000000	0.1167295	73.3558664
3.0000000	-0.2600000	0.0000000	0.0713562	73.3204701
3.0000000	-0.2400000	0.0000000	0.0248311	73.2855696
3.0000000	-0.2200000	0.0000000	-0.0275397	73.2531857
3.0000000	-0.2000000	0.0000000	-0.0808117	73.2217224
3.0000000	-0.1800000	0.0000000	-0.1361307	73.1923502
3.0000000	-0.1600000	0.0000000	-0.1946866	73.1651177
3.0000000	-0.1400000	0.0000000	-0.2572507	73.1405351
3.0000000	-0.1200000	0.0000000	-0.3203142	73.1222603
3.0000000	-0.1000000	0.0000000	-0.3844543	73.1073129
3.0000000	-0.0800000	0.0000000	-0.4514893	73.0938304
3.0000000	-0.0600000	0.0000000	-0.5185343	72.8433406
3.0000000	-0.0400000	0.0000000	-0.5368748	69.4761955
3.0000000	-0.0200000	0.0000000	-0.5025390	60.5873205
3.0000000	0.0000000	0.0000000	-0.7086910	56.8944000
3.0000000	0.0200000	0.0000000	-0.9566580	66.1477943
3.0000000	0.0400000	0.0000000	-1.0620524	71.6890420
3.0000000	0.0600000	0.0000000	-1.1335682	72.9410076
3.0000000	0.0800000	0.0000000	-1.2012355	73.0195752
3.0000000	0.1000000	0.0000000	-1.2673442	73.0520093
3.0000000	0.1200000	0.0000000	-1.3303628	73.1004078
3.0000000	0.1400000	0.0000000	-1.3915894	73.1557994
3.0000000	0.1600000	0.0000000	-1.4507172	73.2149272
3.0000000	0.1800000	0.0000000	-1.5061646	73.2738523
3.0000000	0.2000000	0.0000000	-1.5583298	73.3325967
3.0000000	0.2200000	0.0000000	-1.6071590	73.3914492
3.0000000	0.2400000	0.0000000	-1.6543428	73.4503550
3.0000000	0.2600000	0.0000000	-1.6960623	73.5090440
3.0000000	0.2800000	0.0000000	-1.7365066	73.5676824
3.0000000	0.3000000	0.0000000	-1.7717316	73.6266778
3.0000000	0.4200000	0.0000000	-1.9241696	73.9773525
3.0000000	0.5400000	0.0000000	-1.9817045	74.3103723
3.0000000	0.6600000	0.0000000	-1.9684740	74.6035080
3.0000000	0.7800000	0.0000000	-1.9089363	74.8535363
3.0000000	0.9000000	0.0000000	-1.8204858	75.0603029
3.0000000	1.0200000	0.0000000	-1.7157031	75.2279131
3.0000000	1.1400000	0.0000000	-1.6032723	75.3612609
3.0000000	1.2600000	0.0000000	-1.4892111	75.4651150
3.0000000	1.3800000	0.0000000	-1.3773666	75.5448742
3.0000000	1.5000000	0.0000000	-1.2701065	75.6046883
3.0000000	1.6200000	0.0000000	-1.1688334	75.6480825
3.0000000	1.7400000	0.0000000	-1.0744320	75.6777622
3.0000000	1.8600000	0.0000000	-0.9869911	75.6968265
3.0000000	1.9800000	0.0000000	-0.9064732	75.7072407
3.0000000	2.1000000	0.0000000	-0.8326482	75.7108712
3.0000000	2.2200000	0.0000000	-0.7652355	75.7089664
3.0000000	2.3400000	0.0000000	-0.7037833	75.7027412
3.0000000	2.4600000	0.0000000	-0.6478049	75.6932223
3.0000000	2.5800000	0.0000000	-0.5968467	75.6810444
3.0000000	2.7000000	0.0000000	-0.5505152	75.6667865
3.0000000	2.8200000	0.0000000	-0.5084333	75.6510713
